row_id,date,portfolio_id,ticker,sector,asset_class,investment_style,benchmark,currency,market_regime,goal_type,risk_tolerance,investment_horizon_yr,target_annual_return_pct,goal_progress_pct,price_close,avg_cost_basis,shares_held,position_value,unrealized_pnl,unrealized_pnl_pct,portfolio_value,allocation_pct,target_allocation_pct,allocation_drift_pct,cash_pct,pe_ratio,pb_ratio,dividend_yield_pct,revenue_growth_pct,eps_growth_pct,debt_to_equity,free_cash_flow_B,esg_total_score,rsi_14,macd,macd_signal,sma_50,sma_200,momentum_3m_pct,beta,alpha_pct,sharpe_ratio,volatility_30d_pct,max_drawdown_pct,return_1y_pct,benchmark_return_1y_pct,excess_return_pct,slippage_pct,stop_loss_price,analyst_rating,news_sentiment_score,earnings_surprise_pct,next_earnings_days,short_interest_pct,institutional_ownership_pct,recommendation,recommendation_confidence,recommendation_score,recommendation_reasoning,goal_risk_mismatch_flag
1,11-01-2024,PORT-4150,JNJ,Healthcare,Equity,Growth,S&P 500,GBP,Sideways,Income,Moderate,3,15.6,10,96.29,91.78,40,3851.6,180.4,4.91,982267.64,0.39,5.42,-5.03,4.56,50.5,8.59,5.01,37.6,21.95,1.57,12.47,85.2,65.8,-2.221,-2.847,88.42,93.31,30.7,0.4,0.74,0.94,23.92,-36.77,-33.92,5.27,-39.19,0.332,88.99,Strong Buy,0.946,-1.07,38,24.64,82.7,HOLD,0.62,3,overbought; benchmark underperformance; attractive yield; stretched valuation,TRUE
2,27-05-2024,PORT-7543,PSA,Real Estate,REIT,Growth,Russell 2000,USD,Volatile,Aggressive Growth,Aggressive,15,19.6,29.1,210.89,181.4,969,204352.41,28575.81,16.26,6851299.27,2.98,2.36,0.62,19.95,53,8.2,1.71,19.67,6.99,3.24,33.78,36.5,44.1,3.218,3.05,224.47,173.43,-4.06,0.33,13,1.77,44.49,-39.37,29.89,28.66,1.23,0.216,198.16,Sell,-0.714,-13.02,66,12.59,74.2,REDUCE,0.62,0,high risk-adj return; positive alpha; stretched valuation,FALSE
3,22-09-2023,PORT-4923,GS,Financials,Equity,Momentum,MSCI World,GBP,Volatile,ESG,Conservative,1,14.3,31.5,946.37,962.9,576,545109.12,-9521.28,-1.72,8614758.04,6.33,1.22,5.11,11.35,59.3,10.35,3.76,5.01,44.1,0.39,20.61,54,74.8,0.006,-3.213,1031.74,856.8,46.31,1.94,-1.14,2.06,38.49,-42.36,66.75,9.67,57.08,0.045,845.64,Strong Sell,0.837,9.95,11,2.6,51.3,HOLD,0.51,2,overbought; high risk-adj return; benchmark outperformance; attractive yield,TRUE
4,26-08-2024,PORT-7669,ECL,Materials,Equity,Dividend,NASDAQ 100,USD,Bear,Aggressive Growth,Very Aggressive,7,22.5,15.4,508.37,540.88,997,506844.89,-32412.47,-6.01,2157392.14,23.49,11.25,12.24,13.18,60,3.34,2.18,59.64,44.99,1.53,24.91,29.1,24.3,-2.699,-2.798,488.62,526.33,-12.02,1.46,-2.73,3.12,52.28,-46.46,-6.68,16.79,-23.47,0.23,446.94,Buy,0.078,16.17,46,10.88,49.7,STRONG BUY,0.95,7,oversold; high risk-adj return; benchmark underperformance; stretched valuation,FALSE
5,05-05-2022,PORT-6138,JNJ,Healthcare,Equity,Value,NASDAQ 100,USD,Volatile,Aggressive Growth,Aggressive,1,8,10.5,192.85,186.9,442,85239.7,2629.9,3.18,1875705.96,4.54,9.79,-5.25,9.54,70.7,1.5,5.66,49.2,-10.21,2.28,26.11,21.1,71.9,-0.936,-0.186,204.59,172.51,-22.54,2,-4.21,-0.49,26.47,-3.67,69.92,-4.31,74.23,0.087,165.28,Strong Sell,0.324,4.33,68,4.36,91.7,SELL,0.67,-4,overbought; benchmark outperformance; attractive yield; stretched valuation,FALSE
6,19-12-2024,PORT-1128,BAC,Financials,Equity,Momentum,S&P 500,GBP,Recovery,Growth,Moderate,10,18.8,107.5,245.21,259.12,644,157915.24,-8958.04,-5.37,865734.88,18.24,13.49,4.75,2.07,47.8,5.02,1.83,35.23,11.42,0.93,4.81,68.4,53.8,-4.907,1.212,270.46,287.95,6.58,0.4,4.37,1.52,12.29,-32.55,-30.37,-6.56,-23.81,0.245,237.48,Hold,-0.685,21.69,18,6.98,85.6,HOLD,0.6,1,high risk-adj return; positive alpha; benchmark underperformance; stretched valuation,TRUE
7,12-04-2024,PORT-3532,WFC,Financials,Equity,ESG,Russell 2000,USD,Sideways,ESG,Moderate,7,9.2,100.1,657.81,797.1,527,346665.87,-73405.83,-17.47,4910891.93,7.06,18.2,-11.14,19.52,68.6,1.75,2.97,5.75,-19.65,2.7,31.13,39.6,73,-4.903,-4.248,665.97,638.78,29.3,2.01,4.55,2.84,37.04,-42.6,-22.16,-3.05,-19.11,0.041,620.72,Strong Buy,0.798,-9.5,23,22.09,12.1,REDUCE,0.6,-2,overbought; high risk-adj return; positive alpha; benchmark underperformance,FALSE
8,25-01-2023,PORT-5173,MMM,Industrials,Equity,ESG,S&P 500,EUR,Bear,Preservation,Moderate,1,16.7,83,830.48,1009.16,237,196823.76,-42347.16,-17.71,2035749.66,9.67,18.45,-8.78,0.03,31.9,12.38,6.1,1.72,46,1.39,12.49,25.2,39.9,1.795,3.437,800.81,833.6,31.87,0.26,12.17,0.54,36.93,-0.82,-34.64,12.81,-47.45,0.205,744.3,Hold,0.457,-4.32,69,17.33,89.9,HOLD,0.6,2,positive alpha; benchmark underperformance; attractive yield; positive news flow,TRUE
9,27-04-2023,PORT-6085,PXD,Energy,Equity,Dividend,Russell 2000,USD,Volatile,Growth,Aggressive,7,17,93.7,687.97,605.55,326,224278.22,26868.92,13.61,6685584.4,3.35,7.2,-3.85,2.95,57.6,8.49,1.34,34.87,17.91,2.62,7.05,62.7,56.4,-2.898,2.858,743.07,634,2.49,0.84,2.16,2.2,33.11,-10.31,94.38,20.48,73.9,0.037,663.37,Strong Buy,-0.432,13.19,6,6.5,50.4,BUY,0.81,4,high risk-adj return; benchmark outperformance; stretched valuation; analyst upgrade,FALSE
10,03-12-2024,PORT-8939,AMGN,Healthcare,Equity,ESG,MSCI World,EUR,Volatile,Aggressive Growth,Moderate,7,9.4,35.2,388.68,306.49,714,277517.52,58683.66,26.82,105170.94,263.87,15.27,248.6,1.55,63,1.96,2.98,-1.81,75.8,1.81,0.61,38.7,55.7,1.676,4.879,384.62,435.54,37.87,2.1,12.5,1.95,44.56,-24.76,76.28,10.13,66.15,0.099,360.12,Buy,0.487,3.73,37,6.25,38.5,BUY,0.82,6,high risk-adj return; positive alpha; benchmark outperformance; stretched valuation,FALSE
11,17-03-2024,PORT-1444,UNH,Healthcare,Equity,ESG,NASDAQ 100,USD,Bear,Income,Very Aggressive,3,23.3,75.7,75.05,70.89,565,42403.25,2350.4,5.87,4685946.82,0.9,2.18,-1.28,2.71,67.6,6.09,5.39,55.95,-18.05,3.08,27.94,55.8,52.3,3.916,3.357,71.42,71.75,45.42,1.67,10.4,3.09,31.85,-36.35,27.99,1.39,26.6,0.392,68.6,Sell,0.448,22.03,60,4.95,32.1,BUY,0.71,6,high risk-adj return; positive alpha; benchmark outperformance; attractive yield,FALSE
