applicant_id,age,annual_income_usd,monthly_income_usd,employment_tenure_years,credit_history_years,debt_to_income_ratio,credit_utilization_ratio,num_open_credit_lines,num_delinquencies_12m,num_late_payments_24m,loan_amount_requested_usd,loan_term_months,prior_defaults_flag,bankruptcies_count,avg_monthly_balance_usd,savings_balance_usd,checking_balance_usd,hard_inquiries_6m,revolving_balance_usd,mortgage_balance_usd,payment_to_income_ratio,secured_loan_ratio,recent_credit_growth_pct,region_risk_index,employment_type_code,housing_status_code,total_outstanding_debt_usd,credit_risk_score
A100001,47,183515.06,15292.92,2.63,21.47,0.248,0.163,4,0,2,404598.47,36,0,0,3762.9,7622.5,12036.91,0,16395.91,201497.12,0.178,0.865,-0.164,0.408,1,1,204760.67,762
A100002,40,141344.44,11778.7,3.92,10.36,0.213,0.677,13,0,5,249091.95,120,0,0,16595.77,80684.65,1310.71,0,10062.03,61035.24,0.128,0.306,0.217,0.268,2,2,82086.99,655
A100003,49,87833.94,7319.49,0.81,24.87,0.128,0.464,10,1,3,87228.15,60,0,0,4834.19,36146.27,2394.31,1,3932.38,76535.19,0.093,0.678,-0.082,0.34,1,1,46393.02,750
A100004,59,59551.18,4962.6,4.99,38.38,0.418,0.398,7,1,4,64363.26,120,0,0,23312.13,11035.08,3343.59,0,23750.62,85900.67,0.351,0.498,0.291,0.531,3,1,93885.78,634
A100005,39,124795.21,10399.6,6.58,11.51,0.638,0.341,8,1,1,126026.78,120,0,0,1939.36,24538.05,8546.57,0,14728.84,124854.44,0.5,0.473,0.282,0.587,1,3,215766.12,624
A100006,39,105537.7,8794.81,7.72,22.09,0.437,0.623,7,2,2,270233.16,36,0,0,2670.11,12639.17,5477.97,1,50318.43,175029.56,0.436,0.514,0.287,0.695,4,2,168200.19,520
A100007,59,139074.19,11589.52,1.11,36.43,0.268,0.249,12,2,2,180358.8,240,0,0,4248.18,8003.74,30972.72,1,3373.55,227468.16,0.293,0.487,0.064,0.641,1,2,149910.29,720
A100008,50,120541.7,10045.14,2.45,24.96,0.438,0.263,7,0,0,91348.53,180,0,0,9076.8,25720.28,2179.01,0,18735.24,837520.42,0.318,0.194,-0.25,0.638,3,1,430830.46,742
A100009,37,151396.96,12616.41,7.26,15.43,0.446,0.197,6,0,1,379665.26,360,0,0,5442.21,11568.51,1282.21,3,14353.09,122931.43,0.304,0.63,0.408,0.154,1,2,172156.42,674
A100010,48,63324.47,5277.04,3.79,23.5,0.629,0.205,9,2,0,537971.73,36,0,0,4390.67,17254.74,22516.71,0,6729.5,213298.82,0.576,0.678,0.013,0.636,1,2,175444.47,537
A100011,37,175426.12,14618.84,6.49,12.39,0.254,0.325,4,1,3,155347.94,60,0,0,20249.28,44431.65,1241.48,1,28688.15,26355.56,0.208,0.219,0.249,0.407,1,2,136912.21,713
A100012,37,94758.45,7896.54,1.61,12.76,0.204,0.91,6,1,3,193257.95,240,0,1,21814.14,39797.41,8321.43,2,12669.76,78195.78,0.187,0.685,0.142,0.241,1,1,78257.82,595
A100013,45,266145.92,22178.83,9.7,23.75,0.316,0.436,10,0,1,67505.24,36,0,1,4665.98,9230.34,1865.02,0,4058.71,86237.5,0.261,0.392,0.323,0.6,4,2,188946.28,789
A100014,21,58183.28,4848.61,1.51,1,0.207,0.507,11,0,0,137497.47,240,0,1,1655.31,26013.62,698.86,3,8138.75,44031.13,0.157,0.106,0.111,0.532,1,3,45869.15,622
A100015,23,220838.43,18403.2,4.9,1.46,0.101,0.191,4,0,1,250821.83,24,0,0,1156.98,5179.62,3211.61,1,4017.64,67903.45,0.076,0.24,0.132,0.659,1,1,72755.71,813
A100016,36,94774.67,7897.89,4.98,19.49,0.267,0.489,8,0,2,226696.84,60,1,0,7871.39,25103.39,10111.03,1,6043.52,99857.5,0.222,0.203,0.152,0.404,3,1,105425.01,607
A100017,31,59404.58,4950.38,3.04,3.5,0.411,0.375,9,0,0,129408.33,360,0,0,10985.4,18561.4,1498.53,2,16370.43,69845.34,0.31,0.349,0.195,0.499,1,1,90261.62,663
A100018,45,65138.39,5428.2,5.89,20.84,0.101,0.3,10,0,1,150610.73,360,0,0,6835.98,23372.69,7557.67,1,20865.72,950000,0.094,0.621,-0.102,0.176,1,2,369007.55,726
A100019,32,71268.91,5939.08,6,9.33,0.418,0.621,5,0,2,134594.95,180,0,0,6141.54,11883.42,8941.06,3,10861.83,174430.81,0.261,0.606,0.458,0.853,1,1,114926.22,577
A100020,26,107333.68,8944.47,5.59,6.71,0.213,0.654,14,1,5,150198.05,360,0,0,3414.97,128593.98,1432.69,2,4757.21,666074.04,0.198,0.144,0.107,0.259,1,2,275922.21,613
A100021,58,113319.44,9443.29,3,35.48,0.43,0.284,6,0,0,236999.84,240,0,0,10976.82,6496.67,3665.97,0,12448.4,421519.66,0.239,0.165,0.224,0.354,2,1,250411.63,672
A100022,40,61998.88,5166.57,2.59,17.56,0.307,0.477,5,2,2,50101.84,120,0,0,24887.12,42272.66,18605.27,3,16645.07,61877.64,0.245,0.837,0.393,0.315,3,1,82513.4,625
A100023,43,83869.01,6989.08,3.24,22.74,0.471,0.678,7,0,2,171507.96,360,0,0,1103.29,5702.42,8081.77,1,1683.59,113782.05,0.348,0.074,0.119,0.537,1,2,89782.45,615
A100024,26,276137.78,23011.48,2.34,1,0.161,0.779,2,2,3,225978.75,240,0,1,6109.23,26494.39,3556.35,1,9936.67,74376.36,0.096,0.457,-0.059,0.347,2,2,165274.43,656
A100025,36,219818.02,18318.17,8.54,18.52,0.201,0.477,10,1,2,124230.88,180,1,0,2990.75,28456.56,6539.39,1,7656.56,95091.53,0.107,0.07,-0.065,0.694,3,3,122473.5,712
A100026,43,108053.8,9004.48,3.44,24.64,0.129,0.6,7,0,2,131813.81,60,0,0,1972.75,16904.24,2428.66,2,20244.42,45681.35,0.084,0.193,0.039,0.557,3,1,67757.72,708
A100027,29,86795.36,7232.95,4.81,2.55,0.179,0.49,12,0,2,134316.7,360,0,0,2632.2,9749.97,12260.75,0,12491.65,73928.51,0.141,0.761,0.18,0.232,1,1,67015.68,726
A100028,46,90800.84,7566.74,7.24,17.98,0.22,0.433,9,1,3,131838.06,60,1,0,8806.94,18425.28,12255.95,0,13584.42,152025.36,0.156,0.503,0.199,0.64,1,1,98040.37,678
A100029,35,119114.61,9926.22,2.25,11.88,0.358,0.272,7,0,0,180689.72,12,0,0,8986.94,20896.86,5017.3,1,5975.1,148456.24,0.234,0.116,0.323,0.664,2,3,162281.15,683
A100030,39,48429.8,4035.82,1.46,20.95,0.175,0.48,10,0,3,195744.19,48,0,0,20905.92,95825.15,5538.44,1,9012.64,138178.13,0.165,0.295,-0.157,0.369,3,2,72457.24,710
A100031,35,73780.48,6148.37,2.34,7.71,0.299,0.334,7,0,4,45953.16,36,0,0,6545.82,6687.56,1831.55,2,20072.62,104248.04,0.189,0.202,0.16,0.294,3,3,91731.22,660
A100032,62,33951.4,2829.28,5.15,39.15,0.512,0.528,6,0,1,275153.49,60,0,0,1592.37,9176.77,1332.75,2,8517.11,238685.92,0.442,0.613,0.231,0.572,2,3,126585.92,542
A100033,42,105871.28,8822.61,4.93,19.51,0.394,0.223,6,1,4,149076.2,360,0,0,5372.36,21270.57,3206.35,3,10440.51,87281.77,0.265,0.324,0.224,0.619,4,2,126843.41,658
A100034,30,121341.52,10111.79,5.59,1.82,0.231,0.476,6,1,1,632311.98,240,0,0,2144.06,12385.61,4159.59,1,2439.18,384859.17,0.149,0.41,-0.25,0.319,1,1,192291.94,576
A100035,51,65163.45,5430.29,4.04,25.66,0.03,0.236,8,0,2,82962.22,36,0,0,2475.31,14476.8,11709.99,2,8490.65,20856.02,0.021,0.459,0.053,0.666,3,1,19691.66,799
A100036,29,202015.41,16834.62,0.39,8.47,0.308,0.214,4,0,1,102432.33,360,0,0,10342.37,46662.49,10321.84,3,1627.47,198663.07,0.263,0.696,0.267,0.397,3,1,194616.01,762
A100037,44,43314.18,3609.52,3.95,28.28,0.22,0.725,9,0,2,157758.6,120,0,0,7592.39,953.44,5314.44,2,5803.73,170718.22,0.135,0.598,-0.026,0.713,3,3,87272.54,631
A100038,21,37987.04,3165.59,7.84,1,0.137,0.499,4,0,1,235462.91,120,0,0,10400.51,8799.01,13138.71,1,9499.25,59941.58,0.111,0.724,-0.094,0.216,4,1,40181.29,645
A100039,27,96168.3,8014.02,9.09,3.1,0.318,0.176,8,1,7,50650.96,60,0,0,4883.23,2801.68,1925.03,0,17273.97,79899.73,0.212,0.233,0.222,0.368,1,2,94900.05,683
A100040,44,151192.72,12599.39,4.6,19.45,0.487,0.449,6,0,2,105008.55,360,0,0,12234.08,4839.31,11866.04,2,3849.48,167133.39,0.334,0.131,0.174,0.463,1,1,217007.43,655
A100041,50,214607.65,17883.97,4.94,32.9,0.191,0.495,6,0,0,264360.83,60,0,0,4669.63,177188.34,2209.33,1,12364.83,250841.71,0.158,0.419,0.162,0.322,1,1,140558.58,817
A100042,44,66040.28,5503.36,6.41,24.6,0.447,0.473,13,0,1,97190.82,36,0,0,15881.4,29100.54,13733.01,1,31357.2,22781.84,0.466,0.822,0.004,0.494,3,1,100211.85,691
A100043,41,153841.94,12820.16,8.93,30.82,0.261,0.613,12,2,3,438550.07,60,0,0,8563.54,41436.15,4446.27,3,5220.5,193620.84,0.175,0.591,-0.117,0.438,3,2,168500.79,623
A100044,39,83218.66,6934.89,4.33,15.61,0.366,0.414,10,0,2,134012.42,240,0,0,5508.02,14762.04,744.99,1,2416.28,72863.97,0.317,0.564,0.291,0.462,1,1,92396.25,741
A100045,26,77300.95,6441.75,6.36,10.86,0.506,0.244,3,1,2,100319.92,240,1,0,7701.97,34168.44,8681.71,0,11514.29,302851.07,0.376,0.477,0.721,0.427,1,2,168141.96,543
A100046,34,138194.79,11516.23,2.91,13.83,0.03,0.196,7,0,1,267632.73,48,0,0,6407.78,2734.71,9324.72,1,3267.51,21012.82,0.022,0.231,-0.172,0.268,1,2,20384.84,798
A100047,37,121684.16,10140.35,1.64,18.59,0.406,0.419,3,0,0,511786.81,36,0,0,23305.45,45190.51,2983.67,3,4486.51,950000,0.369,0.519,0.304,0.496,1,3,418817.68,567
A100048,54,35717.31,2976.44,3.13,29.31,0.693,0.538,4,3,3,235948.7,240,1,0,7910.19,7048.01,3221.81,0,19728.43,49548.62,0.47,0.051,0.089,0.477,1,3,84594.52,425
A100049,46,191473.31,15956.11,10.17,22.46,0.584,0.306,13,0,3,408395.46,240,0,0,6491.62,9405.3,3898.09,2,44371.13,398395.58,0.375,0.153,0.177,0.318,3,2,441212.67,650
A100050,23,181580.94,15131.74,6.44,3.93,0.141,0.268,8,0,2,535269.21,60,0,0,5370.98,26515.77,795.68,1,3844.48,103359.6,0.118,0.273,0.109,0.725,1,2,81813.32,731
A100051,46,60255.37,5021.28,1.77,23.38,0.348,0.233,5,0,0,98864.35,360,0,0,12760.44,21955.89,535.7,0,4808.66,52650.74,0.338,0.345,0.515,0.557,2,1,63044.29,671
A100052,38,105672.34,8806.03,6.62,13.3,0.755,0.284,10,2,2,331262.53,360,0,0,11451.64,17412.86,14520.2,0,6192.48,139642.13,0.657,0.264,-0.024,0.63,1,2,166181.35,535
A100053,35,111538.28,9294.86,1.88,11.79,0.244,0.368,12,0,3,66866.7,48,0,0,5221.21,4093.88,2143.45,1,5649.62,277742.18,0.149,0.271,0.012,0.354,3,1,151369.15,705
A100054,49,98103.38,8175.28,5.54,40.5,0.516,0.319,8,0,1,237256.89,180,0,0,2578.71,17679.44,23898.49,0,46549.82,27195.35,0.365,0.762,0.134,0.084,2,1,129082.08,713
