transaction_id,transaction_datetime,account_id,customer_id,bank_name,channel,transaction_type,amount_inr,merchant_category,sender_geography,receiver_geography,device_type,ip_address,kyc_status,account_age_days,previous_fraud_flag,velocity_last_1hr,geo_distance_km,behavioural_deviation_score,risk_score,risk_tier,alerts_triggered,num_alerts,txn_monitoring_agent_flag,behavioural_agent_flag,identity_verified,graph_network_agent_flag,case_escalated,account_frozen,sar_required,sar_status,resolution_time_hrs,fraud_confirmed,fraud_type
TXN7B25583C920F,2024-05-03 01:37:24,ACC476417,CUST15209,Axis Bank,ATM,Transfer,19718.65,Retail,Dubai,Hyderabad,ATM Terminal,81.37.4.118,Expired,2336,0,1,107.5,0.2276,0.117,Low,None,0,0,0,1,0,0,0,0,Not Required,63.54,0,None
TXNB0310FE45967,2025-04-23 20:38:00,ACC832052,CUST19880,Kotak Mahindra,POS,Payment,98131.05,Foreign Exchange,Mumbai,Dubai,POS Terminal,77.53.68.68,Verified,468,0,3,56.4,0.0948,0.1674,Low,None,0,0,0,1,0,0,0,0,Not Required,36.88,0,None
TXN18B27424CD03,2025-09-12 07:50:17,ACC191161,CUST20322,Yes Bank,NEFT,Transfer,631.5,Groceries,USA,Bangalore,Unknown,251.134.82.190,Pending,2289,0,1,22.4,0.4253,0.3371,Medium,Multiple Failures,1,1,0,1,0,0,0,0,Not Required,39.74,0,None
TXN79B74C34843E,2023-07-17 23:30:48,ACC895667,CUST70637,Axis Bank,UPI,Transfer,134857.33,Healthcare,USA,UK,Mobile,231.183.107.175,Verified,2761,0,3,156.0,0.3979,0.2347,Low,None,0,0,0,1,0,0,0,0,Not Required,66.73,0,None
TXN21A6FBC7FBCC,2023-02-08 12:06:09,ACC325772,CUST68800,Axis Bank,Mobile Banking,Refund,49894.6,Unknown Vendor,Hong Kong,Kolkata,Unknown,222.127.136.41,Verified,1596,0,4,44.5,0.3675,0.2179,Low,None,0,0,0,1,0,0,0,0,Not Required,59.26,0,None
TXNFFFEAEFDD3DF,2024-09-10 23:53:18,ACC503457,CUST25860,Yes Bank,Wire Transfer,Transfer,10506.17,Online Gaming,USA,Hyderabad,Tablet,165.204.169.241,Verified,502,0,5,192.5,0.1195,0.1766,Low,Device Mismatch,1,1,0,1,1,0,0,0,Not Required,25.54,0,None
TXND8EE584C90BC,2024-08-21 09:07:35,ACC852787,CUST26828,Yes Bank,ATM,Transfer,106346.91,Groceries,Mumbai,Jaipur,POS Terminal,176.100.186.111,Verified,2750,0,3,132.7,0.0561,0.427,Medium,AML Flag,1,1,0,1,0,0,0,0,Not Required,48.35,0,None
TXNE0892255CD95,2023-07-17 17:37:59,ACC148050,CUST34890,Axis Bank,ATM,Withdrawal,141060.51,Real Estate,Dubai,Singapore,Desktop,158.154.207.141,Verified,1274,0,4,157.2,0.273,0.1786,Low,Large Transaction,1,1,0,1,1,0,0,0,Not Required,32.39,0,None
TXNBD7496019650,2025-10-20 11:44:10,ACC555884,CUST98039,Axis Bank,Net Banking,Transfer,99611.69,Entertainment,Lucknow,Pune,Mobile,210.120.158.58,Verified,633,0,1,49.0,0.2138,0.3854,Medium,None,0,0,0,1,0,0,0,0,Not Required,33.33,0,None
TXN470E50ED231D,2024-09-12 20:08:19,ACC779514,CUST38016,Yes Bank,ATM,Credit,103174.6,Real Estate,Hong Kong,USA,Mobile,200.217.112.46,Expired,1932,0,5,49.8,0.3818,0.2163,Low,None,0,0,0,1,1,0,0,0,Not Required,48.4,0,None
